Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
0                        0.0019356862703959147    8398                     12.296335193940749       22.609589632651925       0.04501766918845178      0.8909490190004724       0                        0                        0.9999474125             0.05                     0.2168773519588285       0.0005                   0.2838634852087125       2e-06                    0.11279296875            0.04208927               0.61485684               
200                      0.2991474531094233       850975                   12.967022803172622       18.590082822078273       0.08411902201432574      0.8989272034644284       0                        0                        0.9894157124999999       0.049999999999999996     0.08768025076642516      0.0005                   0.30170086678117514      2e-06                    0.077392578125           0.10410409               0.3548973                
400                      0.5968895339965821       1693236                  11.365754044748952       17.624769467933227       0.08768060731720803      0.8975884010850878       0                        0                        0.9788871625             0.05                     0.07046814931527479      0.0005                   0.28076039836741984      2e-06                    0.1044921875             0.0056012142             0.41132778               
600                      0.8949222599135505       2535148                  12.457779507970361       18.487658267633172       0.08768060731720803      0.8975884010850878       0                        0                        0.96836365               0.05                     0.0732537947842502       0.0005                   0.29583577858284116      2e-06                    0.09130859375            -0.01975319              0.5046611                
800                      1.1933513650629255       3377127                  11.935443061192542       19.476866067527414       0.08768060731720803      0.8975884010850878       0                        0                        0.9578384875             0.05                     0.08406128802380408      0.0005                   0.29167989268898964      2e-06                    0.02490234375            -0.0146681               0.32435888               
1000                     1.4922555925448735       4218925                  12.917599965874363       18.385544660539146       0.08768060731720803      0.8975884010850878       0                        0                        0.94731625               0.05                     0.061854797779233195     0.0005                   0.2903200402506627       2e-06                    0.09619140625            -0.067487046             0.3698602                
1200                     1.7915050192011728       5061736                  12.960335629434686       16.869536134855068       0.08768060731720803      0.8975884010850878       0                        0                        0.9367808                0.05                     0.06771317220045603      0.0005                   0.29280424577882513      2e-06                    0.116943359375           0.046311114              0.20985803               
1400                     2.0908580103847716       5903701                  12.2967933051343         14.934079401586875       0.08768060731720803      0.8975884010850878       0                        0                        0.9262561375             0.05                     0.06809828466975887      0.0005                   0.2811919563100673       2e-06                    0.094482421875           -0.036131606             0.3582733                
1600                     2.391041028102239        6746198                  13.482423112260545       16.983585304221833       0.08768060731720803      0.8975884010850878       0                        0                        0.915725225              0.05                     0.07532653953603585      0.0005                   0.30374496756121516      2e-06                    0.0947265625             0.035598926              0.36145726               
1800                     2.6911313834455277       7589798                  13.598561903096064       19.935888657746045       0.08768060731720803      0.8975884010850878       0                        0                        0.9051806                0.05                     0.061860775775130605     0.0005                   0.28049791778903455      2e-06                    0.083740234375           -0.08004466              0.41367573               
