Iteration                Wall_Time                Samples                  Train_Return             Test_Return              State_Mean               State_Std                Goal_Mean                Goal_Std                 Exp_Rate                 Exp_Noise                Critic_Loss              Critic_Stepsize          Actor_Loss               Actor_Stepsize           Clip_Frac                Adv_Mean                 Adv_Std                  
4600                     3.61678213596344         19759356                 29.67081606301074        27.5468441612954         0.11734584235517101      0.8625097301260276       0                        0                        0.7530628625             0.05                     0.05517723214100389      0.0005                   0.29316095953040266      2e-06                    0.08295036764705882      0.04648464               0.28422794               
4800                     3.784382567008336        20647305                 32.56918656984175        31.73827176426638        0.11734584235517101      0.8625097301260276       0                        0                        0.7419626375             0.05                     0.06314083535278983      0.0005                   0.28277214391924         2e-06                    0.11167279411764706      -0.039689872             0.3758098                
5000                     3.951894237862693        21533456                 29.98929834510628        29.589954537154075       0.11734584235517101      0.8625097301260276       0                        0                        0.7308863750000001       0.05                     0.060309831056442546     0.0005                   0.3066156524069169       2e-06                    0.07398897058823528      -0.07320026              0.33383128               
5200                     4.119632877111435        22420800                 34.756638722576994       27.529429583086827       0.11734584235517101      0.8625097301260276       0                        0                        0.7197956125             0.05                     0.05159713759990957      0.0005                   0.2820799189674503       2e-06                    0.140625                 0.03224408               0.25347742               
5400                     4.28709058728483         23307313                 33.7808737308993         25.45292910184662        0.11734584235517101      0.8625097301260276       0                        0                        0.708713075              0.05                     0.06432854984749986      0.0005                   0.28424237416509324      2e-06                    0.11580882352941176      0.093575954              0.26577872               
5600                     4.454523143172264        24194350                 35.48963890880892        26.538319152230102       0.11734584235517101      0.8625097301260276       0                        0                        0.6976253375000001       0.05                     0.05817304007188581      0.0005                   0.2957023432040039       2e-06                    0.058823529411764705     -0.1094776               0.33738956               
5800                     4.62285594827599         25082798                 30.56349081281425        25.9885017495804         0.11734584235517101      0.8625097301260276       0                        0                        0.6865196250000001       0.05                     0.05775592618567101      0.0005                   0.2763846954878639       2e-06                    0.08111213235294118      -0.104935825             0.32055536               
6000                     4.791406904922591        25970413                 33.38344419501527        27.927286663290733       0.11734584235517101      0.8625097301260276       0                        0                        0.6754251375             0.05                     0.06327350807602189      0.0005                   0.2849038446541218       2e-06                    0.08042279411764706      -0.04212271              0.2614904                
6200                     4.959071637656954        26856343                 37.844931635658654       25.67126055216489        0.11734584235517101      0.8625097301260276       0                        0                        0.6643524000000001       0.05                     0.04269459588815355      0.0005                   0.2868924258380301       2e-06                    0.1130642361111111       -0.0481919               0.28648654               
6400                     5.126541862355338        27743818                 36.09181759315642        24.968802612606773       0.11734584235517101      0.8625097301260276       0                        0                        0.6532596374999999       0.05                     0.05126351978914398      0.0005                   0.28772343027715885      2e-06                    0.11588541666666667      -0.22108176              0.31435445               
6600                     5.293994831840197        28629889                 31.20008166806115        26.990760903896675       0.11734584235517101      0.8625097301260276       0                        0                        0.64218025               0.05                     0.05685186122461934      0.0005                   0.29244766241925607      2e-06                    0.10776654411764706      -0.075343095             0.31818166               
6800                     5.46135156876511         29515755                 37.355027220448676       24.29339605666453        0.11734584235517101      0.8625097301260276       0                        0                        0.631109075              0.05                     0.04439365246798843      0.0005                   0.28172914031893015      2e-06                    0.09765625               0.15810199               0.30475774               
7000                     5.628960934678713        30403354                 37.98549904791156        27.03092855170798        0.11734584235517101      0.8625097301260276       0                        0                        0.6200137375000001       0.05                     0.04737774115261238      0.0005                   0.2936149774776662       2e-06                    0.0627297794117647       -0.08089293              0.31722164               
7200                     5.796421725286378        31291357                 35.9265076295957         34.507881607847736       0.11734584235517101      0.8625097301260276       0                        0                        0.6089128875             0.05                     0.04618235617903445      0.0005                   0.29489359232213563      2e-06                    0.10202205882352941      0.15337594               0.26506227               
7400                     5.963828088111348        32177577                 36.30502059603661        26.65785948150304        0.11734584235517101      0.8625097301260276       0                        0                        0.5978354                0.05                     0.042811156907940615     0.0005                   0.2931521961136776       2e-06                    0.08272058823529413      -0.13380726              0.3056442                
7600                     6.131286496453815        33065168                 38.90155350758061        26.61539248869311        0.11734584235517101      0.8625097301260276       0                        0                        0.5867413499999999       0.05                     0.03987126772442613      0.0005                   0.2940443647915826       2e-06                    0.10500919117647059      0.04813113               0.24378464               
7800                     6.298425519069036        33951687                 35.809272758177386       29.675401125572584       0.11734584235517101      0.8625097301260276       0                        0                        0.5756604249999999       0.05                     0.04214051486471564      0.0005                   0.2972367018357747       2e-06                    0.0859375                -0.019245943             0.23926546               
8000                     6.466109090977245        34839279                 35.255421257038805       34.38404232655445        0.11734584235517101      0.8625097301260276       0                        0                        0.5645642875             0.05                     0.048294167791027576     0.0005                   0.28329286806504517      2e-06                    0.07513786764705882      -0.059098385             0.3756092                
